Time,Open,High,Low,Close,Volume,Count,Wap
20180321,156.47,158.26,156.13,157.28,41074.7,12917,157.259
20180322,155.91,156.61,152.3,152.38,54412.49,22405,154.664
20180323,152.9,154.12,150,150.48,60624.62,27003,151.684
20180326,151.99,153.5,150.43,153.4,48054.27,20640,152.193
20180327,153.8,154.32,149.72,150.27,42477.22,19973,151.616
20180328,149.79,151.38,149.39,150.85,49454.71,22387,150.404
20180329,150.73,153.1,150.62,151.69,42342.4,17802,151.883
20180402,151.69,152.06,147.18,148.49,64857.89,22779,148.58
20180403,148.65,150.6,148.32,150,48829.81,21740,149.615
20180404,148.71,152.58,147.5,152.37,44114.03,19899,150.712
20180405,152.81,153.6,151.56,152.06,34917.27,15295,153.126
20180406,152.49,153.39,149.15,150.32,48324.7,20120,150.95
20180409,151.6,152.6,150.25,150.55,58429.93,15592,151.024
20180410,152.06,153.95,151.68,152.98,40055.42,16972,153.049
20180411,152.75,154.31,151.97,154.1,25361.37,11105,153.484
20180412,154.03,155.4,153.93,154.28,27219.93,12181,154.769
20180413,154.74,155.35,153.53,154.09,36995.5,15447,154.232
20180416,154.6,155.81,154.11,155.4,35865.77,10356,155.247
